character,stroke_1,stroke_2,stroke_3,cooperation_index,synergy,dominance_score,character_type
H,0.4890171604574789,0.3335411203073211,0.16009021943773402,0.5023663104491315,0.9837185089915388,0.4976521720194835,Cooperative
F,0.3264733887586367,0.3138510264794199,0.32898734713024974,0.6602125428348385,0.971626330720028,0.3394030279034677,Cooperative
j,0.4890857058950739,0.4915136378040188,0.0,0.4952161431440126,0.9694937715588215,0.5012379836497677,Cooperative
7,0.49121105564336176,0.46911202198316454,0.0,0.4885870552871211,0.9487133477450698,0.5115060411308743,Cooperative
5,0.44312293403345393,0.4463652737637555,0.0,0.4960571960612395,0.9039132123919748,0.5018225872484195,Cooperative
E,0.4137220526125701,0.06922545392808382,0.3085891738820692,0.4944271095843049,0.7975546334575938,0.522682097804514,Cooperative
K,0.37403382356731324,0.28797257420147715,0.08142672382301597,0.4924354767103296,0.7720631806393309,0.5031169754267182,Cooperative
t,0.3466041345400299,0.3499129055398953,0.0,0.3749254957468296,0.7119914243776293,0.5023752261678234,Cooperative
T,0.5464239505139025,0.2561655653310784,0.0,0.3321586102878425,0.583133441376655,0.6808261754311821,Cooperative
w,0.45280798281601164,0.2851987803442171,0.0,0.369397590084305,0.5690448384848423,0.6135553295975723,Cooperative
Q,0.5024728343414608,0.30117835974670015,0.0,0.3509548861783519,0.5452310209511779,0.6252374637625926,Cooperative
q,0.286265514352029,0.22717209080049847,0.0,0.2919886239864741,0.4780516299021353,0.5575468401208903,Mixed
i,0.3556183277978561,0.23750817036489025,0.0,0.2495314242882957,0.4763288121903315,0.5995657400224242,Mixed
k,0.27371631972512955,0.1511046885141998,0.08691464526539977,0.3987608049163674,0.4493364310956167,0.5348783455882462,Mixed
I,0.3461319067152241,0.18363678217353174,0.0665736493603314,0.2692831275170604,0.4258640476382425,0.5804248407575712,Mixed
4,0.42068079372984357,0.16286045798915438,0.0,0.1663197426264401,0.3307576624404949,0.7209101198768734,Mixed
f,0.16991023358423255,0.1620046159951016,0.0,0.3326144027168865,0.3248029341533159,0.5119091049995962,Mixed
P,0.7129376495528655,0.15976931269203,0.0,0.1652017003968652,0.3140315758840491,0.8169267353143951,Dominant Stroke
B,0.8114774082593309,0.16142904655619833,0.0,0.163508472607422,0.3098600003868341,0.8340754696844862,Dominant Stroke
r,0.7165912120593324,0.17228851985904234,0.0,0.1531234756755602,0.2980667537097664,0.8061734184362486,Dominant Stroke
R,0.3680213491509979,0.1996673805406317,0.0,0.2543773395785815,0.2906585629874219,0.6482801752131108,Mixed
g,0.17966618311281002,0.14301263308152556,0.0,0.1659821988301673,0.2843050529869894,0.5567957178961658,Mixed
G,0.80720868279847,0.1384927350251625,0.0,0.1572954482743811,0.2776045192343493,0.8535555383390675,Dominant Stroke
X,0.06355064998691283,0.05816406741117436,0.0,0.1665643338542309,0.2240010951645672,0.5221279015836713,Mixed
x,0.014946397762590399,0.015081779041793197,0.0,0.3300527844081937,0.2187212741506906,0.5022542374131591,Mixed
z,0.3189676736001274,0.0956686637146049,0.0,0.1247744454946552,0.1905998983856989,0.769270912592528,Mixed
W,0.4363294616196072,0.08451286565104962,0.0,0.2493168422632101,0.1688818125694524,0.8377380999468341,Dominant Stroke
A,0.7008204643425415,0.05723134551226392,0.0,0.12482676003897,0.1143834366666851,0.9245020659956925,Dominant Stroke
y,0.5703908673409993,0.021175311063416302,0.0,0.1611668900761365,0.0400878780831893,0.9642046624089788,Dominant Stroke
J,0.32229963643476367,0.32317588757723575,0.0,0.0054349398739362,0.0118773835711181,0.500678764035099,Mixed
o,0.33309538507213193,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
S,0.49530375252167386,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
N,0.8270995289397737,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
M,0.7685440934728831,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
L,0.9417410660535097,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
8,0.890051291595834,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
D,0.587740029518803,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
O,0.38719733187463135,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
9,0.558690301142633,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
2,0.754853303777054,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
1,0.056064531827966335,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
6,0.8588239192031324,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
C,0.3253054060041904,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
3,0.8875824100493143,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
V,0.821936320203046,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
U,0.5069755933557948,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
l,0.7356450626005729,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
h,0.7267781148354212,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
d,0.4381335557554848,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
c,0.40523988753557205,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
Y,0.691653291384379,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
a,0.7859396644635126,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
b,0.45987246482400224,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
e,0.9761811410232136,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
s,0.5466082139561573,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
p,0.9694717624806799,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
m,0.7592409374192357,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
n,0.9329183078759039,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
u,0.5736841001392653,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
v,0.649868396964545,0.0,0.0,0.0,0.0,1.0,Dominant Stroke
0,0.4863175698252841,-0.0019448698039923,0.0,0.0,-0.0033081571091315,1.0,Dominant Stroke
Z,0.3893636228264465,-0.09575999441828266,0.0,0.1628324418737694,-0.1859703588803919,1.0,Dominant Stroke
